player_display_name,position,season,recent_team,fantasy_points_ppr
Tony Richardson,FB,2000,KC,189.2
Richie Anderson,FB,2000,NYJ,184.4
Larry Centers,FB,2000,WAS,169.3
Mike Alstott,FB,2000,TB,93.7
Bob Christian,FB,2000,ATL,76.2
William Henderson,FB,2000,GB,62.5
Brad Hoover,FB,2000,CAR,57.5
Chris Hetherington,FB,2000,CAR,49
Robert Thomas,FB,2000,DAL,48.2
Robert Holcombe,FB,2000,LA,48
Mack Strong,FB,2000,SEA,44
William Floyd,FB,2000,CAR,43.7
Jon Ritchie,FB,2000,LV,43.3
Marc Edwards,FB,2000,CLE,39.7
Terrelle Smith,FB,2000,NO,31.6
Rob Konrad,FB,2000,MIA,26.2
Lorenzo Neal,FB,2000,TEN,22.3
Jonathan Linton,FB,2000,BUF,16.8
Clif Groce,FB,2000,CIN,15.9
Sam Gash,FB,2000,BAL,15.2
Jerald Sowell,FB,2000,NYJ,14.4
Donnell Bennett,FB,2000,KC,12.1
Dan Kreider,FB,2000,PIT,11.6
Jim Finn,FB,2000,IND,9.4
Daimon Shelton,FB,2000,JAX,9.1
Jon Witman,FB,2000,PIT,8.8
Joel Makovicka,FB,2000,ARI,8.6
Harold Shaw,FB,2000,NE,4.3
Reggie Brown,FB,2000,SEA,3.5
Chris Floyd,FB,2000,NE,3
Harold Morrow,FB,2000,MIN,1.2
Tim Seder,K,2000,DAL,6.1
David Akers,K,2000,PHI,1.5
Neil Rackers,K,2000,CIN,-0.5
Jeff Garcia,QB,2000,SF,339.82
Daunte Culpepper,QB,2000,MIN,339.16
Peyton Manning,QB,2000,IND,293.82
Donovan McNabb,QB,2000,PHI,291.6
Rich Gannon,QB,2000,LV,287.22
Elvis Grbac,QB,2000,KC,227.12
Mark Brunell,QB,2000,JAX,227
Shaun King,QB,2000,TB,217.36
Kerry Collins,QB,2000,NYG,215.54
Brett Favre,QB,2000,GB,203.36
Drew Bledsoe,QB,2000,NE,191.68
Steve Beuerlein,QB,2000,CAR,189.34
Kurt Warner,QB,2000,LA,185.02
Vinny Testaverde,QB,2000,NYJ,184.88
Brian Griese,QB,2000,DEN,183.74
Kordell Stewart,QB,2000,PIT,179.68
Steve McNair,QB,2000,TEN,172.58
Charlie Batch,QB,2000,DET,148.66
Jon Kitna,QB,2000,SEA,143.62
Trent Green,QB,2000,LA,143.18
Rob Johnson,QB,2000,BUF,140.84
Jay Fiedler,QB,2000,MIA,138.52
Jeff Blake,QB,2000,NO,137.66
Jake Plummer,QB,2000,ARI,132.38
Cade McNown,QB,2000,CHI,125.3
Brad Johnson,QB,2000,WAS,119.36
Doug Flutie,QB,2000,BUF,112.14
Aaron Brooks,QB,2000,NO,110.76
Chris Chandler,QB,2000,ATL,109.68
Gus Frerotte,QB,2000,DEN,97.04
Trent Dilfer,QB,2000,BAL,90.12
Tony Banks,QB,2000,BAL,85.22
Ryan Leaf,QB,2000,LAC,76.56
Tim Couch,QB,2000,CLE,73.86
Jeff George,QB,2000,WAS,73.76
Jim Harbaugh,QB,2000,LAC,65.66
Randall Cunningham,QB,2000,DAL,64.5
Troy Aikman,QB,2000,DAL,63.94
Akili Smith,QB,2000,CIN,53.54
Scott Mitchell,QB,2000,CIN,41.04
Doug Pederson,QB,2000,CLE,39.88
Shane Matthews,QB,2000,CHI,39.46
Kent Graham,QB,2000,PIT,35.82
Stoney Case,QB,2000,DET,35.62
Brock Huard,QB,2000,SEA,31.22
Neil O'Donnell,QB,2000,TEN,22.64
Jim Miller,QB,2000,CHI,19.54
Danny Kanell,QB,2000,ATL,18.24
Jamie Martin,QB,2000,JAX,17.68
Dave Brown,QB,2000,ARI,16.68
Doug Johnson,QB,2000,ATL,13.34
Rick Mirer,QB,2000,SF,11.54
Warren Moon,QB,2000,KC,10.52
Damon Huard,QB,2000,MIA,10.04
Matt Hasselbeck,QB,2000,GB,7.66
Chad Pennington,QB,2000,NYJ,6.68
Ray Lucas,QB,2000,NYJ,6.44
Jeff Lewis,QB,2000,CAR,5.9
Michael Bishop,QB,2000,NE,5.1
Clint Stoerner,QB,2000,DAL,4.96
Chris Greisen,QB,2000,ARI,4.7
Bubby Brister,QB,2000,MIN,3.28
Anthony Wright,QB,2000,DAL,3.08
Alex Van Pelt,QB,2000,BUF,2.68
Spergon Wynn,QB,2000,CLE,1.5
Dameyune Craig,QB,2000,CAR,1.4
Chris Redman,QB,2000,BAL,0.76
John Friesz,QB,2000,NE,0.64
Eric Zeier,QB,2000,TB,0.56
Kevin Thompson,QB,2000,CLE,0.32
Tom Brady,QB,2000,NE,0.24
Mark Hartsell,QB,2000,CHI,0
Travis Brown,QB,2000,SEA,0
Jarious Jackson,QB,2000,DEN,-0.1
Todd Husak,QB,2000,WAS,-0.18
Danny Wuerffel,QB,2000,GB,-0.2
Jonathan Quinn,QB,2000,JAX,-0.2
Tim Rattay,QB,2000,SF,-0.26
Bobby Hoying,QB,2000,LV,-0.3
Jason Garrett,QB,2000,NYG,-0.4
Koy Detmer,QB,2000,PHI,-1.2
Moses Moreno,QB,2000,LAC,-2.08
Joe Hamilton,QB,2000,TB,-2.2
Marshall Faulk,RB,2000,LA,453.5
Edgerrin James,RB,2000,IND,388.1
Eddie George,RB,2000,TEN,326.4
Ahman Green,RB,2000,GB,313.2
Curtis Martin,RB,2000,NYJ,302.52
Charlie Garner,RB,2000,SF,296.7
Ricky Watters,RB,2000,SEA,295.1
Tiki Barber,RB,2000,NYG,287.8
Robert Smith,RB,2000,MIN,279.3
Fred Taylor,RB,2000,JAX,276.3
Mike Anderson,RB,2000,DEN,275
Stephen Davis,RB,2000,WAS,251.5
Warrick Dunn,RB,2000,TB,247.9
James Stewart,RB,2000,DET,245.2
Lamar Smith,RB,2000,MIA,243.3
Ricky Williams,RB,2000,NO,231.16
Michael Pittman,RB,2000,ARI,229.5
Jamal Lewis,RB,2000,BAL,224.4
Jamal Anderson,RB,2000,ATL,209.8
Corey Dillon,RB,2000,CIN,205.8
Jerome Bettis,RB,2000,PIT,198.9
Tyrone Wheatley,RB,2000,LV,192.9
James Allen,RB,2000,CHI,188.7
Emmitt Smith,RB,2000,DAL,182.6
Kevin Faulk,RB,2000,NE,178.5
Travis Prentice,RB,2000,CLE,151.7
Tim Biakabutuka,RB,2000,CAR,149.6
Shawn Bryson,RB,2000,BUF,125.1
Sammy Morris,RB,2000,BUF,123.1
Priest Holmes,RB,2000,BAL,122.9
Terrell Fletcher,RB,2000,LAC,122.1
Ron Dayne,RB,2000,NYG,107.9
Randy Jordan,RB,2000,LV,106.4
Darnell Autry,RB,2000,PHI,105.9
Fred Beasley,RB,2000,SF,104.7
Chris Warren,RB,2000,PHI,103.4
Thomas Jones,RB,2000,ARI,96.1
J.R. Redmond,RB,2000,NE,91.2
Brandon Bennett,RB,2000,CIN,84
Duce Staley,RB,2000,PHI,80.2
Napoleon Kaufman,RB,2000,LV,79.2
Jermaine Fazande,RB,2000,LAC,73.2
Brian Mitchell,RB,2000,PHI,71.44
Zack Crockett,RB,2000,LV,71.2
Dorsey Levens,RB,2000,GB,70.3
Stanley Pritchett,RB,2000,PHI,68.1
Greg Comella,RB,2000,NYG,65.9
Kimble Anders,RB,2000,KC,65.5
Antowain Smith,RB,2000,BUF,64.4
Justin Watson,RB,2000,LA,63.8
Cecil Martin,RB,2000,PHI,58.6
Richard Huntley,RB,2000,PIT,58.6
Chad Morton,RB,2000,NO,57.7
